FIPS,MARKET_VALUE,Per_Crop_Sales,Per_Grain_Mark_Val,Per_Cotton_Mark_Val,Per_Other_Crop_Mark_Val,Per_Veg_Sale_Mkt_Val,Per_Fruit_Sales_Mkt_Val,Per_Nursery_Sales_Val,Per_Cut_Tree_Sales_Val,Per_Ani_Sales_Mark_Val,Per_Poul_Sales_Mark_Val,Per_Milk_Sales_Mrk_Val,Per_Cattle_Sales_Mrk_Val,Per_Hog_Sales_Mrk_Val,Per_Sheep_Sales_Mrk_Val,PER_AQ_SALES,PER_EQ_SALES,PER_SP_AN_SALES,Per_Cropland_Manure,Cattle_Operations,Milk_Operations,Poul_Total_Oper,Hog_Oper,TOT_SHEEP_Oper,EQUI_OPER,TOT_AQUA_OPER
5001,214280000,99.61,99.46,0,0.04,0,0.03,0.04,0.04,0.39,0.01,0,0.34,0.01,0.01,0,0.01,0.03,1.26,25,0,9,2,5,11,0
5003,70196000,90.38,62.08,20.91,0.31,6.06,0.34,0.34,0.34,9.62,8.05,0,0.97,0.5,0.01,0.01,0.07,0.01,1.61,121,0,27,1,3,19,2
5005,31762000,2.75,0,0,1.99,0.1,0.33,0.33,0,97.25,62,0,34.37,0.05,0.17,0.4,0.21,0.04,36.01,310,0,45,10,30,19,1
5007,593372000,1.27,0.26,0,0.56,0.04,0.06,0.31,0.04,98.73,90.34,0.69,7.01,0.54,0.05,0.01,0.06,0.03,37.61,"1,298",10,318,52,116,68,2
5009,164017000,1.9,0.33,0,1.37,0.05,0.11,0.04,0,98.1,64.93,0,32.78,0.05,0.14,0,0.15,0.05,69.67,992,0,146,43,80,57,0
5011,42083000,15.81,0,0,0.85,14.89,0.04,0.03,0,84.19,81.58,0,2.59,0,0.01,0,0.01,0,11.18,83,0,36,0,10,1,0
5013,5523000,6.32,0,0,2.63,0.5,3.19,0,0,93.68,81.87,0,11.58,0,0.2,0,0.03,0,11.18,64,0,16,0,2,4,0
5015,363617000,0.94,0.01,0,0.6,0.08,0.18,0.07,0,99.06,88.77,0.01,10.16,0.02,0.04,0.01,0.03,0.02,84.62,897,1,237,24,58,32,1
5017,148270000,96.64,86.42,9.85,0.1,0,0.18,0.09,0,3.36,0.5,0,2.8,0,0.01,0.01,0.02,0.02,2.79,56,0,2,0,5,1,4
5019,17498000,32.36,23.78,0.38,4.91,0.6,0.38,2.3,0,67.64,40.05,7.5,18.8,0,0.25,0.01,0.95,0.08,20.92,231,2,15,0,27,14,1
5021,197615000,83.22,70.89,11.47,0.43,0.15,0.14,0.14,0,16.78,15.38,0,1.04,0.15,0.15,0.01,0.01,0.04,0.86,160,0,25,1,13,9,2
5023,57553000,2.59,0,0,2.46,0.02,0.1,0.01,0,97.41,70.38,0,26.06,0.28,0.06,0.29,0.3,0.03,30.21,453,0,51,12,25,27,1
5025,128930000,0.39,0,0,0.36,0.01,0.02,0,0,99.61,98.32,0,1.28,0,0.01,0,0.01,0.01,41.78,115,0,69,0,1,4,0
5027,48960000,7.97,1.83,0,1.07,0.07,0.01,5,0,92.03,83.78,0,6.81,0.04,0.5,0,0.5,0.4,36.22,220,0,36,9,5,11,0
5029,172251000,8.73,6.69,0,1.74,0.01,0.3,0.01,0,91.27,81.65,0.2,5.95,3.28,0.12,0,0.07,0,31.17,510,2,135,11,42,35,0
5031,195213000,98.27,62.33,30.71,4.6,0.15,0.15,0.15,0.18,1.73,0.01,0,0.67,0.54,0.01,0,0.09,0.41,1.33,134,0,21,13,23,21,0
5033,53908000,32.71,11.87,0,3.42,0.52,0.25,16.4,0.25,67.29,31.22,0,35.59,0.08,0.16,0,0.17,0.07,13.47,517,0,73,25,40,30,0
5035,165253000,99.53,89.49,9.52,0.26,0.14,0.06,0.06,0,0.47,0,0,0.06,0,0,0.13,0.13,0.15,0.02,8,0,7,0,6,2,2
5037,149793000,99.58,91,0.13,0.13,8.16,0.01,0.13,0,0.42,0.02,0,0.37,0.01,0.01,0,0.01,0,2.21,52,0,12,3,2,1,0
5039,1742000,67.44,0,0,14.07,0,0,53.37,0,32.56,0.8,0,30.39,0,0.57,0,0.63,0.17,2.39,74,0,4,0,4,6,0
5041,168140000,95.82,87.65,7.57,0.2,0.2,0.2,0,0,4.18,0,0,0.05,0,0,4.08,0,0.05,3.81,14,0,5,0,0,0,3
5043,60057000,67.06,52.64,12.49,0.8,1.13,0,0,0,32.94,22.52,0,10.26,0.03,0.05,0.01,0.04,0.03,13.19,170,0,24,1,13,15,1
5045,26994000,43.96,22.57,0,8.68,0.15,1.81,10.6,0.15,56.04,0.18,7.94,45.59,0.09,0.77,0.09,1.22,0.16,7.25,760,5,113,43,73,69,1
5047,181216000,2.84,0.81,0,1.35,0.09,0.53,0.03,0.03,97.16,77.25,0.12,19.56,0,0.03,0,0.1,0.1,51.81,565,2,102,5,28,45,0
5049,28965000,8.06,3.49,0,4.41,0.07,0.05,0.04,0,91.94,5.33,0.5,79.17,0.04,2.55,3.75,0.56,0.04,26.69,611,1,83,21,67,46,2
5051,9986000,30.52,0,0,2.9,0.5,0.5,26.62,0,69.48,17.56,0,15.71,11.31,0.54,20.7,2.88,0.77,22.5,218,0,54,12,26,21,5
5053,6305000,15.15,0,0,5.85,8.3,0.5,0,0.5,84.85,44.89,0,38.55,0.15,0.33,0,0.87,0.06,7.25,169,0,36,7,8,9,0
5055,139320000,91.92,86.33,2.95,1.71,0.06,0.07,0.8,0,8.08,0.01,0,1.31,0.02,0.02,6.66,0.07,0,1.51,268,0,13,17,31,31,5
5057,216037000,2.39,0,0,1.06,0.13,0.2,1,0,97.61,85.22,0.11,9.08,3.14,0.01,0,0.04,0.01,53.03,444,4,129,8,14,17,0
5059,29093000,4.13,0,0,2.57,0.16,0.23,0.99,0.18,95.87,80.71,0,14.59,0.06,0.16,0,0.3,0.05,12.66,346,0,62,9,28,32,0
5061,262076000,0.69,0,0,0.65,0.02,0.02,0,0,99.31,86.8,0,6.82,5.64,0.01,0,0.03,0.01,84.13,443,0,192,18,9,16,0
5063,172930000,12.16,10.88,0,1.19,0.02,0.03,0.02,0.02,87.84,78.44,0,9.25,0.01,0.03,0.03,0.04,0.04,20.18,627,0,94,8,40,36,2
5065,65909000,2.05,0.06,0,1.85,0.05,0.05,0.04,0,97.95,67.15,0.43,22.59,7.5,0.06,0,0.16,0.06,35.35,477,6,35,29,31,33,0
5067,125738000,92.88,92.14,0,0.18,0.37,0.19,0,0,7.12,4.59,0,2,0,0.5,0.01,0.02,0,2.06,102,0,23,3,5,9,1
5069,169613000,84.86,81.75,2.59,0.25,0.07,0.2,0,0,15.14,14.53,0,0.59,0,0,NA,0.01,NA,2.09,83,0,44,0,15,19,1
5071,139017000,3.02,1.33,0,1.22,0.03,0.42,0.03,0,96.98,89.75,0,7.04,0,0.01,0,0.16,0.02,57.15,434,0,69,6,6,38,0
5073,119223000,15.61,14.89,0,0.53,0.05,0.14,0,0,84.39,63.61,0,18.18,0.01,0.01,2.56,0.03,0.01,14.77,178,0,65,2,1,7,8
5075,150597000,66.26,63.46,0,2.79,0.01,0.01,0,0.01,33.74,30.03,0,3.67,0.01,0.02,0,0.01,0.01,3.01,262,0,51,4,30,4,0
5077,130096000,99.77,74.4,23.02,1.48,0.67,0.1,0.1,0,0.23,0,0,0.2,0.03,0,0,0,0,0,32,0,0,2,0,0,0
5079,178965000,52.55,41.47,8.5,0.09,2.32,0.09,0.08,0,47.45,45.22,0.28,1.34,0.28,0.28,0.01,0.03,0,5.21,139,1,45,2,18,10,2
5081,85535000,19.43,11.74,1,1,0.01,5.49,0,0.01,80.57,62.44,0,18.05,0.01,0.01,0,0.04,0.03,11.91,286,0,50,12,10,9,0
5083,225490000,2.8,1.56,0,1.18,0.02,0.02,0.01,0,97.2,87.46,0.05,9.54,0.08,0.02,0,0.04,0,60.06,672,2,144,7,19,30,0
5085,184220000,85.53,79.57,2.17,0.79,1.19,0.31,1.2,0.3,14.47,0.02,NA,2.36,NA,0.03,11.08,0.07,0,3.85,260,4,53,20,31,16,31
5087,279341000,2.17,0.4,0,1.27,0.06,0.2,0.2,0,97.83,87.51,0.47,9.69,0.05,0.03,0.01,0.06,0.01,74.47,924,6,209,20,45,28,1
5089,52013000,1.94,0,0,1.88,0.04,0,0.02,0,98.06,63.48,0.02,33.99,0.02,0.37,0,0.1,0.08,69.38,394,2,92,21,60,16,0
5091,34870000,45.23,34.32,2,3.4,0.36,4.89,0.26,0,54.77,34.38,0.5,18.58,0.01,0.5,0,0.14,0.66,7.6,330,1,25,3,2,12,0
